#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დავლიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დალივე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალევაზედ	დალევა	და-ლევ[ა]/ლ	N VN Pv Dat Sg PP PP:ზედ
დავლიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაგელიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Opt Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:2Pl ¦ V Pass Opt Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:2
დალევს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დალიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დაილია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Sg
დაელევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დავილიენით	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3Pl
დალიაო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3 Encl:IndSp3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაულევია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაჰლევდეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act ConjFut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3 NonStand
დალიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დალიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
